Weight,Height,Width,Color,Animal
1031.26,1.3,2.75,Blanco,Oso
647.79,0.95,2.66,Marron,Oso
759.12,1.31,1.86,Negro,Oso
1119.9,1.35,2.63,Negro,Oso
801.14,1.29,2.09,Blanco,Oso
766.82,1.04,2.52,Blanco,Oso
414.73,1.06,2.14,Blanco,Oso
486.42,1.27,2.15,Marron,Oso
,1.25,3,Blanco,Oso
374.44,0.98,1.94,Negro,Oso
10.83,0.5,0.66,Beige,Zorro
8.41,0.48,0.68,Blanco,Zorro
15.91,0.37,1,Marron,Zorro
16.47,0.4,0.95,Gris,Zorro
11.37,0.44,0.72,Beige,Zorro
16.91,0.48,0.97,Beige,Zorro
9.87,0.43,0.66,Gris,Zorro
15.61,0.45,0.77,Beige,Zorro
15.13,0.47,0.86,Gris,Zorro
14.03,0.48,0.86,Gris,Zorro
