Weight,Height,Width,Color,Animal
870.75,1.07,2.57,Marron,Oso
529.16,1.21,2.37,Blanco,Oso
712.05,1.36,1.86,Marron,Oso
613.38,0.98,1.95,Negro,Oso
,,2.19,Negro,Oso
674.65,1.15,2.79,Blanco,Oso
842.53,1.48,2.86,Negro,Oso
801.18,1.3,2.52,Blanco,Oso
609.25,1.4,1.91,Blanco,Oso
552.36,1.24,2.3,Marron,Oso
870.75,1.07,2.57,Marron,Oso
1062.7,1.33,2.93,Marron,Oso
623.1,1.26,2.23,Marron,Oso
863.09,1.1,2.41,Marron,Oso
897.43,1.47,2.56,Blanco,Oso
837.35,1.28,2.13,Marron,Oso
443.79,1.07,2.21,Blanco,Oso
303.66,0.93,1.81,Negro,Oso
644.31,1.28,2.4,Blanco,Oso
,,2.16,Negro,Oso
870.75,1.07,2.57,Marron,Oso
916.97,1.36,2.72,Negro,Oso
936.31,1.32,2.44,Negro,Oso
678.1,1.07,2.84,Negro,Oso
524.8,1.4,1.81,Marron,Oso
1329.17,1.44,2.96,Negro,Oso
992,1.22,2.69,Negro,Oso
619.94,1.14,2.47,Blanco,Oso
700.77,1.12,2.08,Marron,Oso
700.29,1.32,1.85,Blanco,Oso
13.89,0.44,0.87,Beige,Zorro
15.91,0.49,0.85,Beige,Zorro
10.25,0.5,0.84,Beige,Zorro
6.17,0.36,0.62,Beige,Zorro
11.99,0.41,0.75,Beige,Zorro
,,0.66,Gris,Zorro
6.27,0.4,0.64,Gris,Zorro
19.18,0.44,0.98,Blanco,Zorro
12.93,0.47,0.81,Blanco,Zorro
6.76,0.41,0.66,Blanco,Zorro
13.89,0.44,0.87,Beige,Zorro
9.24,0.35,0.85,Blanco,Zorro
11.37,0.45,0.74,Blanco,Zorro
8.59,0.47,0.63,Gris,Zorro
13.68,0.49,0.62,Beige,Zorro
12.55,0.48,0.94,Gris,Zorro
11.84,0.49,0.71,Blanco,Zorro
11.66,0.45,0.89,Blanco,Zorro
9.63,0.39,0.96,Beige,Zorro
12.71,0.45,0.78,Marron,Zorro
13.89,0.44,0.87,Beige,Zorro
13.53,0.45,0.73,Marron,Zorro
10.11,0.35,0.76,Beige,Zorro
13.08,0.44,0.82,Beige,Zorro
8.59,0.48,0.61,Blanco,Zorro
10.04,0.49,0.71,Marron,Zorro
13.89,0.36,0.94,Gris,Zorro
11.98,0.4,0.99,Gris,Zorro
7.79,0.43,0.72,Blanco,Zorro
19.13,0.49,0.98,Blanco,Zorro
13.89,0.44,0.87,Beige,Zorro
14.88,0.36,0.94,Marron,Zorro
17.81,0.44,0.91,Gris,Zorro
,,0.95,Marron,Zorro
11.91,0.48,0.75,Blanco,Zorro
11.7,0.45,0.87,Marron,Zorro
11.65,0.4,0.71,Blanco,Zorro
14.67,0.44,0.81,Gris,Zorro
11.99,0.43,0.66,Blanco,Zorro
,0.42,,Blanco,Zorro
13.89,0.44,0.87,Beige,Zorro
15.19,0.47,0.76,Beige,Zorro
10.6,0.43,0.76,Gris,Zorro
13.43,0.48,0.76,Beige,Zorro
12.71,0.41,0.77,Marron,Zorro
10.49,0.39,0.66,Beige,Zorro
17.73,0.49,0.79,Beige,Zorro
7.54,0.36,0.65,Blanco,Zorro
14.7,0.45,0.85,Marron,Zorro
12.35,0.38,0.76,Gris,Zorro
13.89,0.44,0.87,Beige,Zorro
10.55,0.48,0.76,Blanco,Zorro
9.63,0.44,0.68,Gris,Zorro
7.99,0.41,0.69,Beige,Zorro
15.17,0.44,0.78,Marron,Zorro
9.63,0.4,0.65,Marron,Zorro
14,0.45,0.91,Marron,Zorro
9.77,0.42,0.71,Blanco,Zorro
16.37,0.4,0.96,Marron,Zorro
11.67,0.37,0.72,Marron,Zorro
13.89,0.44,0.87,Beige,Zorro
8.82,0.39,0.81,Beige,Zorro
12.69,0.39,0.83,Beige,Zorro
12.43,0.47,0.78,Marron,Zorro
12.49,0.37,0.79,Beige,Zorro
14.48,0.45,0.89,Beige,Zorro
8.58,0.38,0.6,Blanco,Zorro
8.68,0.48,0.65,Marron,Zorro
14.58,0.39,0.96,Blanco,Zorro
12.87,0.44,0.72,Blanco,Zorro
13.89,0.44,0.87,Beige,Zorro
19.1,0.49,1,Gris,Zorro
,0.48,0.98,Gris,Zorro
17.08,0.49,0.81,Marron,Zorro
9.73,0.42,0.88,Blanco,Zorro
11.03,0.4,0.87,Gris,Zorro
9.82,0.4,0.79,Marron,Zorro
12.6,0.43,0.98,Gris,Zorro
13.92,0.36,0.93,Marron,Zorro
8.36,0.45,0.66,Blanco,Zorro
13.89,0.44,0.87,Beige,Zorro
10.11,0.4,0.9,Gris,Zorro
7.36,0.36,0.72,Marron,Zorro
12.37,0.49,0.71,Beige,Zorro
13.47,0.35,0.97,Beige,Zorro
16.8,0.45,0.88,Blanco,Zorro
11.43,0.44,0.83,Marron,Zorro
13.26,0.46,0.74,Beige,Zorro
12.81,0.35,0.87,Blanco,Zorro
10.99,0.48,0.82,Beige,Zorro
870.75,1.07,2.57,Marron,Oso
835.67,1.32,2.34,Blanco,Oso
714.6,1.11,2.44,Blanco,Oso
881.64,1.2,2.93,Negro,Oso
820.37,1.24,2.69,Blanco,Oso
812.24,1.28,2.83,Marron,Oso
396.52,0.94,2.3,Marron,Oso
754.05,1.07,2.88,Blanco,Oso
1066.47,1.44,2.42,Marron,Oso
393.62,0.93,2.15,Blanco,Oso
870.75,1.07,2.57,Marron,Oso
534.51,0.96,1.94,Blanco,Oso
471.15,1.24,2.06,Marron,Oso
619.8,1.08,2.07,Negro,Oso
907.44,1.29,2.78,Blanco,Oso
1027.69,1.4,2.31,Negro,Oso
876.08,1.1,2.5,Blanco,Oso
880.11,1.29,2.16,Blanco,Oso
942.97,1.4,2.53,Blanco,Oso
724.32,0.92,2.73,Marron,Oso
870.75,1.07,2.57,Marron,Oso
496.69,1.14,1.97,Blanco,Oso
505.71,0.96,2.9,Blanco,Oso
540.16,1.39,1.93,Marron,Oso
897.52,1.11,2.93,Negro,Oso
500.07,0.99,2.84,Blanco,Oso
972.07,1.45,2.49,Negro,Oso
617.17,1.29,2.11,Marron,Oso
444.97,1.1,2.25,Marron,Oso
718.98,0.98,2.26,Marron,Oso
870.75,1.07,2.57,Marron,Oso
808.22,1.35,2.53,Negro,Oso
499.73,1.03,2.74,Blanco,Oso
984.11,1.18,2.91,Blanco,Oso
553.11,1.16,2.02,Negro,Oso
705.51,1.22,2.36,Negro,Oso
671.68,1.21,2.49,Blanco,Oso
729.25,0.99,2.39,Negro,Oso
,,1.86,Blanco,Oso
559.98,0.95,2.41,Negro,Oso
870.75,1.07,2.57,Marron,Oso
583.55,1.09,2.45,Blanco,Oso
935.82,1.15,2.51,Blanco,Oso
1109.69,1.33,2.6,Blanco,Oso
943.22,1.42,2.29,Blanco,Oso
413.86,1.25,1.88,Negro,Oso
517.31,0.96,2.14,Blanco,Oso
640.46,1.04,2.23,Negro,Oso
727.74,1.35,1.93,Blanco,Oso
1172.73,1.48,2.75,Blanco,Oso
870.75,1.07,2.57,Marron,Oso
873.45,1.25,2.39,Negro,Oso
635.59,0.98,2.26,Negro,Oso
600.84,1.18,1.85,Marron,Oso
521.17,1.02,2.6,Negro,Oso
1117.54,1.28,2.8,Blanco,Oso
,1.44,,Marron,Oso
551.12,1.01,2.4,Marron,Oso
750.44,1.09,2.86,Marron,Oso
518.96,1.5,1.93,Negro,Oso
870.75,1.07,2.57,Marron,Oso
956.17,1.39,2.19,Marron,Oso
627.6,1.1,2.75,Marron,Oso
379.98,1.03,2.07,Blanco,Oso
702.95,1.48,2.43,Blanco,Oso
,,2.99,Negro,Oso
800.36,1.35,1.93,Marron,Oso
770.9,1.3,2.97,Blanco,Oso
1112.84,1.37,2.77,Blanco,Oso
842.65,1.26,2.95,Blanco,Oso
870.75,1.07,2.57,Marron,Oso
505.41,1.04,2.64,Negro,Oso
469.18,1.32,1.94,Negro,Oso
650.28,1.29,2.21,Marron,Oso
847.69,1.02,2.76,Marron,Oso
635.48,0.93,2.92,Marron,Oso
456.63,1.11,2.34,Negro,Oso
908.12,1.21,2.8,Negro,Oso
903.82,1.24,2.91,Marron,Oso
704.52,1.31,1.97,Blanco,Oso
870.75,1.07,2.57,Marron,Oso
505.11,1.04,2.45,Blanco,Oso
567.95,1.15,2.61,Blanco,Oso
655.54,1.49,2,Negro,Oso
556.54,1.08,1.83,Marron,Oso
882.22,1.47,2.1,Negro,Oso
569.04,1.15,2.04,Negro,Oso
578.2,1.11,2.44,Negro,Oso
803.92,1.2,2.07,Blanco,Oso
595.11,1.45,2.31,Negro,Oso
870.75,1.07,2.57,Marron,Oso
615.08,1.23,2.32,Negro,Oso
688.47,0.98,2.66,Blanco,Oso
701.48,1.04,2.89,Negro,Oso
702.51,0.97,2.35,Marron,Oso
605.49,1.35,2.09,Negro,Oso
519.22,0.91,2.35,Blanco,Oso
488.91,0.96,2.23,Marron,Oso
433.44,1.19,2.04,Negro,Oso
418.72,1.18,2.01,Blanco,Oso
870.75,1.07,2.57,Marron,Oso
,,2.3,Blanco,Oso
949.48,1.06,2.92,Marron,Oso
605.54,1.35,2.48,Negro,Oso
790.52,1.44,2.04,Blanco,Oso
535.13,1.14,1.82,Blanco,Oso
1040.67,1.42,2.74,Marron,Oso
829.8,1.08,2.6,Marron,Oso
,,2.73,Blanco,Oso
728.19,1.12,2.87,Marron,Oso
870.75,1.07,2.57,Marron,Oso
894.1,1.16,2.37,Blanco,Oso
498.92,1.38,1.92,Marron,Oso
396.01,0.95,1.94,Marron,Oso
827.41,1.02,2.64,Blanco,Oso
571.67,1,2.64,Negro,Oso
886.21,1.26,2.71,Marron,Oso
,,2.45,Negro,Oso
652.86,1.4,2.27,Marron,Oso
363.52,0.9,2.07,Negro,Oso
870.75,1.07,2.57,Marron,Oso
861.15,1.35,2.03,Negro,Oso
700.11,1.5,2.26,Negro,Oso
656.09,1.22,1.95,Blanco,Oso
556.39,1.32,2.07,Negro,Oso
720.24,0.93,3,Marron,Oso
530.57,0.98,2.14,Negro,Oso
1223.78,1.46,2.64,Blanco,Oso
920.32,1.18,2.55,Marron,Oso
1106.73,1.29,2.75,Blanco,Oso
870.75,1.07,2.57,Marron,Oso
646.67,0.9,2.82,Negro,Oso
657,1.19,2.22,Marron,Oso
815.45,1.43,2.99,Blanco,Oso
507.57,1.04,2.53,Negro,Oso
874.48,1.44,2.77,Blanco,Oso
693.28,1.22,2.61,Blanco,Oso
401.27,1.04,1.89,Blanco,Oso
904.12,1.14,2.59,Marron,Oso
767.34,0.96,2.83,Negro,Oso
870.75,1.07,2.57,Marron,Oso
586.09,1,1.99,Negro,Oso
751.58,1.08,2.69,Marron,Oso
966.09,1.36,2.79,Blanco,Oso
620.21,1.34,2.24,Negro,Oso
,1.03,,Marron,Oso
,,2.6,Negro,Oso
1085.05,1.38,2.74,Blanco,Oso
670.27,0.96,2.19,Blanco,Oso
1111.43,1.49,2.77,Negro,Oso
870.75,1.07,2.57,Marron,Oso
1236.08,1.47,2.9,Negro,Oso
1073.11,1.32,2.85,Negro,Oso
671.59,1.05,2.6,Marron,Oso
440.21,0.98,1.93,Marron,Oso
502.49,0.98,1.95,Negro,Oso
922.11,1.14,2.82,Marron,Oso
737.23,0.9,2.95,Negro,Oso
512.49,0.92,1.95,Negro,Oso
948.3,1.41,2.71,Blanco,Oso
870.75,1.07,2.57,Marron,Oso
816.29,1.46,2.63,Negro,Oso
678.21,1.18,2.19,Blanco,Oso
922.37,1.45,2.41,Blanco,Oso
775.15,1.13,2.55,Marron,Oso
,1.13,,Blanco,Oso
622.88,1.18,2.37,Negro,Oso
576.58,1.12,2.23,Blanco,Oso
1065.24,1.24,2.69,Blanco,Oso
535.38,1.03,2.28,Marron,Oso
870.75,1.07,2.57,Marron,Oso
642.55,1.48,2.4,Blanco,Oso
835.86,1.42,2.87,Blanco,Oso
462.96,0.99,1.85,Marron,Oso
1039.58,1.41,2.29,Blanco,Oso
904.63,1.45,1.95,Marron,Oso
1033.62,1.43,2.9,Blanco,Oso
715.54,1.3,2.92,Blanco,Oso
591.68,1.01,2.21,Negro,Oso
578.08,0.97,1.87,Marron,Oso
870.75,1.07,2.57,Marron,Oso
,0.96,2,Negro,Oso
846.56,1.11,2.89,Marron,Oso
554.15,1.07,2.09,Marron,Oso
488.15,0.95,2.22,Negro,Oso
1070.78,1.5,2.54,Blanco,Oso
,0.96,2.05,Marron,Oso
649.57,0.96,2.38,Negro,Oso
477.78,0.92,2.04,Negro,Oso
660.02,0.97,2.27,Blanco,Oso
870.75,1.07,2.57,Marron,Oso
1196.3,1.5,2.59,Blanco,Oso
1051.56,1.31,2.94,Blanco,Oso
743.35,1.34,2.17,Blanco,Oso
813.42,1.48,2.69,Blanco,Oso
756.63,1.16,2.9,Marron,Oso
812.01,1.38,2.99,Marron,Oso
421.63,1.13,1.83,Negro,Oso
601.49,0.97,2.46,Blanco,Oso
987.34,1.21,2.72,Blanco,Oso
870.75,1.07,2.57,Marron,Oso
568.32,1.36,2.3,Blanco,Oso
718.89,1.39,2.19,Negro,Oso
897.65,1.4,2.74,Marron,Oso
945.06,1.49,2.47,Blanco,Oso
877.02,1.36,2.5,Negro,Oso
616.06,1.14,2.83,Blanco,Oso
485.02,0.92,2.75,Blanco,Oso
1203.9,1.36,2.8,Negro,Oso
849.63,1.02,2.7,Blanco,Oso
870.75,1.07,2.57,Marron,Oso
637.26,1.43,2.5,Marron,Oso
1045.38,1.49,2.38,Blanco,Oso
513.65,0.96,2.08,Marron,Oso
834.17,1.21,2.87,Blanco,Oso
796.62,1.2,2.96,Blanco,Oso
,1.4,,Blanco,Oso
1101.52,1.46,2.86,Marron,Oso
614.54,1.27,2.56,Blanco,Oso
776.24,1.25,2.15,Negro,Oso
870.75,0.44,0.87,Beige,Zorro
9.66,0.45,0.79,Marron,Zorro
6.71,0.36,0.67,Marron,Zorro
9.43,0.39,0.86,Marron,Zorro
,,0.85,Marron,Zorro
13.78,0.45,0.96,Beige,Zorro
11.99,0.38,0.78,Blanco,Zorro
10.1,0.36,0.86,Blanco,Zorro
7.35,0.35,0.85,Gris,Zorro
11.22,0.42,0.76,Gris,Zorro
870.75,0.44,0.87,Beige,Zorro
12.35,0.43,0.67,Marron,Zorro
10.04,0.47,0.68,Marron,Zorro
12.91,0.43,0.83,Marron,Zorro
18.82,0.44,0.93,Blanco,Zorro
8.42,0.36,0.89,Marron,Zorro
16.25,0.49,0.87,Gris,Zorro
12.91,0.49,0.67,Gris,Zorro
9.05,0.49,0.68,Beige,Zorro
11.46,0.42,0.67,Blanco,Zorro
870.75,0.44,0.87,Beige,Zorro
13.35,0.4,0.75,Gris,Zorro
10.84,0.45,0.69,Blanco,Zorro
12.24,0.44,0.87,Marron,Zorro
,0.44,0.72,Blanco,Zorro
12.29,0.41,0.87,Beige,Zorro
7.79,0.4,0.64,Gris,Zorro
7.01,0.39,0.65,Blanco,Zorro
16.15,0.5,0.92,Beige,Zorro
7.43,0.37,0.83,Beige,Zorro
870.75,0.44,0.87,Beige,Zorro
15.61,0.47,0.89,Blanco,Zorro
10.36,0.37,0.77,Beige,Zorro
9.88,0.36,0.83,Gris,Zorro
11.11,0.4,0.63,Beige,Zorro
6.27,0.38,0.67,Blanco,Zorro
12.57,0.35,0.93,Blanco,Zorro
12.28,0.47,0.89,Marron,Zorro
13.1,0.49,0.88,Blanco,Zorro
13.88,0.43,0.73,Blanco,Zorro
870.75,0.44,0.87,Beige,Zorro
18.03,0.46,0.99,Gris,Zorro
12.89,0.49,0.92,Blanco,Zorro
10.5,0.45,0.77,Gris,Zorro
9.86,0.38,0.87,Beige,Zorro
,0.36,0.68,Blanco,Zorro
7.63,0.37,0.82,Beige,Zorro
11.83,0.37,0.75,Gris,Zorro
10.37,0.4,0.61,Beige,Zorro
19.31,0.46,0.93,Beige,Zorro
870.75,0.44,0.87,Beige,Zorro
11.19,0.43,0.81,Blanco,Zorro
,0.42,0.92,Marron,Zorro
17.1,0.38,1,Blanco,Zorro
15.9,0.42,0.89,Beige,Zorro
10.91,0.39,0.67,Gris,Zorro
10.37,0.4,0.87,Gris,Zorro
10.33,0.36,0.79,Gris,Zorro
18.53,0.47,0.99,Gris,Zorro
9.36,0.38,0.66,Marron,Zorro
870.75,0.44,0.87,Beige,Zorro
12.36,0.5,0.61,Beige,Zorro
12.86,0.37,0.78,Blanco,Zorro
10.69,0.39,0.66,Blanco,Zorro
15.37,0.42,0.95,Beige,Zorro
11.29,0.45,0.65,Gris,Zorro
8.41,0.39,0.69,Gris,Zorro
10.7,0.47,0.89,Beige,Zorro
13.46,0.49,0.88,Gris,Zorro
9.19,0.44,0.71,Beige,Zorro
870.75,0.44,0.87,Beige,Zorro
11.07,0.42,0.97,Beige,Zorro
16.9,0.41,0.99,Gris,Zorro
14.22,0.48,0.75,Beige,Zorro
10.16,0.45,0.74,Marron,Zorro
16.7,0.44,0.88,Beige,Zorro
9.54,0.41,0.71,Gris,Zorro
,,0.79,Beige,Zorro
11.73,0.5,0.74,Marron,Zorro
11.85,0.47,0.9,Gris,Zorro
870.75,0.44,0.87,Beige,Zorro
10.18,0.5,0.69,Blanco,Zorro
20.46,0.47,1,Gris,Zorro
12.5,0.49,0.95,Marron,Zorro
,0.48,,Gris,Zorro
6.74,0.36,0.69,Beige,Zorro
,0.36,0.64,Beige,Zorro
7.97,0.36,0.61,Marron,Zorro
8.89,0.44,0.69,Blanco,Zorro
8.71,0.47,0.69,Gris,Zorro
870.75,0.44,0.87,Beige,Zorro
9.56,0.45,0.62,Beige,Zorro
,0.45,,Gris,Zorro
17.3,0.46,0.83,Beige,Zorro
11.44,0.49,0.76,Gris,Zorro
13.23,0.38,0.78,Blanco,Zorro
11.4,0.43,0.69,Marron,Zorro
11.23,0.48,0.9,Blanco,Zorro
13.06,0.49,0.76,Beige,Zorro
,0.44,,Gris,Zorro
870.75,0.44,0.87,Beige,Zorro
8.39,0.4,0.63,Gris,Zorro
10.89,0.49,0.82,Blanco,Zorro
,0.49,,Marron,Zorro
11.7,0.4,0.83,Marron,Zorro
19.25,0.49,0.92,Marron,Zorro
12.53,0.43,0.93,Blanco,Zorro
10.7,0.4,0.74,Blanco,Zorro
11.69,0.37,0.96,Beige,Zorro
12.28,0.46,0.98,Blanco,Zorro
870.75,0.44,0.87,Beige,Zorro
14.11,0.38,0.94,Gris,Zorro
,,0.84,Gris,Zorro
11.83,0.43,0.62,Blanco,Zorro
12.91,0.43,0.69,Marron,Zorro
8.88,0.36,0.91,Beige,Zorro
14.04,0.49,0.66,Blanco,Zorro
16.47,0.44,0.91,Blanco,Zorro
9.08,0.36,0.9,Blanco,Zorro
14.07,0.42,0.76,Gris,Zorro
870.75,0.44,0.87,Beige,Zorro
12.49,0.36,0.84,Beige,Zorro
11.54,0.35,0.99,Marron,Zorro
11.64,0.42,0.86,Beige,Zorro
10.59,0.43,0.84,Gris,Zorro
10.76,0.38,0.64,Marron,Zorro
15.62,0.45,0.88,Beige,Zorro
13.79,0.5,0.98,Beige,Zorro
11.93,0.48,0.62,Marron,Zorro
12.15,0.41,0.74,Blanco,Zorro
870.75,0.44,0.87,Beige,Zorro
7.78,0.47,0.6,Beige,Zorro
8.65,0.39,0.79,Blanco,Zorro
17.89,0.45,0.95,Gris,Zorro
11.58,0.47,0.77,Blanco,Zorro
8.13,0.45,0.65,Blanco,Zorro
