Weight,Height,Width,Color,Animal
951.94,1.48,1.97,Negro,Oso
705.53,1.37,1.86,Negro,Oso
862.69,1.38,2.11,Blanco,Oso
523.08,0.97,1.92,Blanco,Oso
478.71,0.96,2.21,Blanco,Oso
838.13,1.49,1.94,Negro,Oso
858.76,1.36,2.22,Marron,Oso
644.75,1.35,1.92,Blanco,Oso
739.04,1.4,1.88,Marron,Oso
791.95,1.18,2.38,Marron,Oso
35.53,0.71,1.17,Blanco,Lobo
42.48,0.79,1.02,Marron,Lobo
51.35,0.79,1.32,Gris,Lobo
54.72,0.81,1.55,Negro,Lobo
56.72,0.77,1.16,Gris,Lobo
31.76,0.62,1.28,Marron,Lobo
30.97,0.64,1.12,Marron,Lobo
56.64,0.8,1.53,Gris,Lobo
37.62,0.78,1.04,Marron,Lobo
30.2,0.63,1.2,Gris,Lobo
161.98,1.87,1.58,Blanco,Ciervo
179.99,1.63,1.77,Beige,Ciervo
149.17,1.73,1.59,Gris,Ciervo
98.71,1.04,1.58,Marron,Ciervo
201.86,1.99,1.64,Gris,Ciervo
144.07,1.79,1.71,Gris,Ciervo
196.12,1.35,1.91,Gris,Ciervo
125.65,1.53,1.52,Gris,Ciervo
148.21,1.77,1.46,Gris,Ciervo
113.11,1.01,1.93,Beige,Ciervo
10.55,0.35,0.78,Gris,Zorro
11.29,0.39,0.8,Gris,Zorro
13.16,0.5,0.61,Blanco,Zorro
12.52,0.44,0.69,Blanco,Zorro
8.79,0.4,0.69,Marron,Zorro
11.31,0.41,0.63,Marron,Zorro
5.4,0.35,0.62,Gris,Zorro
12.83,0.47,0.71,Beige,Zorro
11.94,0.5,0.89,Marron,Zorro
13.01,0.44,0.85,Gris,Zorro
66.09,0.74,1.58,Gris,Lobo
51.24,0.84,1.29,Negro,Lobo
70.96,0.78,1.5,Negro,Lobo
44.23,0.75,1.33,Gris,Lobo
63.17,0.65,1.53,Gris,Lobo
42.59,0.83,1.18,Blanco,Lobo
42.07,0.74,1.08,Gris,Lobo
45.88,0.62,1.32,Negro,Lobo
41.49,0.84,1.24,Gris,Lobo
28.21,0.67,1.06,Negro,Lobo
63.59,0.84,1.1,Gris,Lobo
35.79,0.64,1.31,Negro,Lobo
63.17,0.68,1.59,Blanco,Lobo
44.65,0.65,1.26,Negro,Lobo
47.75,0.74,1.05,Blanco,Lobo
43.67,0.68,1.31,Blanco,Lobo
43.12,0.72,1.1,Blanco,Lobo
40.48,0.61,1.42,Gris,Lobo
29.55,0.66,1.17,Marron,Lobo
54.23,0.65,1.37,Marron,Lobo
521.52,1.37,2.32,Negro,Oso
442.29,1.3,1.8,Blanco,Oso
1229.6,1.35,2.87,Blanco,Oso
613.11,1.28,2.12,Negro,Oso
541.12,1.34,2.28,Blanco,Oso
908.27,1.06,2.74,Blanco,Oso
883.57,1.28,2.69,Marron,Oso
815.01,1.35,2.07,Marron,Oso
1092.66,1.43,2.72,Marron,Oso
914.04,1.04,2.73,Negro,Oso
9.1,0.47,0.88,Blanco,Zorro
12.5,0.42,0.84,Gris,Zorro
7.13,0.39,0.63,Blanco,Zorro
8.37,0.35,0.81,Blanco,Zorro
15.73,0.49,0.71,Marron,Zorro
15.66,0.47,0.95,Gris,Zorro
7.49,0.37,0.76,Beige,Zorro
15.41,0.42,0.89,Gris,Zorro
12.67,0.46,0.76,Blanco,Zorro
13.69,0.38,0.98,Marron,Zorro
792.43,1.26,1.84,Marron,Oso
582.84,0.95,2.08,Marron,Oso
604.25,0.92,2.7,Blanco,Oso
1009.14,1.36,2.91,Negro,Oso
774.3,1.24,2.34,Marron,Oso
961.5,1.1,2.74,Marron,Oso
877.31,1.18,2.96,Blanco,Oso
607.38,1.42,2.43,Blanco,Oso
541.69,1,1.9,Marron,Oso
832.66,1.48,2.7,Marron,Oso
469.95,1.04,2.3,Blanco,Oso
1116.09,1.49,2.67,Marron,Oso
784.4,1.27,2.45,Marron,Oso
515.55,1.21,2.18,Marron,Oso
694.56,0.91,2.51,Marron,Oso
871.06,1.14,2.58,Blanco,Oso
476.03,1.01,2.08,Marron,Oso
569.68,1.2,2.69,Blanco,Oso
831.24,1.47,1.96,Marron,Oso
707.77,1.43,1.84,Negro,Oso
1062.87,1.23,2.55,Negro,Oso
766.95,1.07,2.83,Marron,Oso
620.09,1.12,1.92,Blanco,Oso
759.7,1.13,2.79,Blanco,Oso
924.88,1.41,2.52,Marron,Oso
404.44,0.93,2.2,Blanco,Oso
602.72,1.23,2.35,Marron,Oso
458.04,1.18,2.2,Negro,Oso
866.52,1.45,1.97,Marron,Oso
520,0.99,2.58,Marron,Oso
7,0.49,0.65,Gris,Zorro
19.56,0.49,0.9,Beige,Zorro
8.67,0.43,0.8,Beige,Zorro
9.11,0.47,0.66,Marron,Zorro
10.82,0.49,0.72,Beige,Zorro
17.64,0.43,0.93,Marron,Zorro
14.28,0.42,0.76,Beige,Zorro
11.17,0.44,0.77,Blanco,Zorro
18.14,0.44,0.99,Blanco,Zorro
11.35,0.36,1,Blanco,Zorro
7,0.49,0.65,Gris,Zorro
13.83,0.43,0.98,Gris,Zorro
19.53,0.47,0.94,Beige,Zorro
16.27,0.44,0.98,Blanco,Zorro
14.3,0.49,0.95,Gris,Zorro
10.83,0.36,0.99,Gris,Zorro
9.08,0.39,0.76,Beige,Zorro
15.48,0.48,0.89,Beige,Zorro
14.88,0.42,0.91,Beige,Zorro
14.61,0.43,0.94,Beige,Zorro
7,0.49,0.65,Gris,Zorro
10.36,0.35,0.93,Gris,Zorro
10.92,0.41,0.94,Gris,Zorro
8.83,0.44,0.62,Blanco,Zorro
11.45,0.4,0.91,Gris,Zorro
14.14,0.48,0.76,Marron,Zorro
9.91,0.35,0.97,Beige,Zorro
8.68,0.38,0.93,Blanco,Zorro
10.93,0.43,0.97,Gris,Zorro
15.71,0.46,0.91,Blanco,Zorro
